#OTU ID	Acidaminococcus_intestini	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_coprocola	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_plebeius	Bacteroides_salyersiae	Bacteroides_sp_CAG_144	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Catenibacterium_mitsuokai	Clostridium_sp_CAG_58	Collinsella_aerofaciens	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_38	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemanella_biformis	Intestinibacter_bartlettii	Lachnospira_pectinoschiza	Lawsonibacter_asaccharolyticus	Methanobrevibacter_smithii	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_sp_CAG_409	Paraprevotella_xylaniphila	Parasutterella_excrementihominis	Prevotella_copri	Proteobacteria_bacterium_CAG_139	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Slackia_isoflavoniconvertens	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Veillonella_parvula
Acidaminococcus_intestini	1.0000	0.0594	0.0099	0.5149	0.2277	0.2574	0.8515	0.0099	0.0198	0.1188	0.9109	0.0594	0.6634	0.1980	0.2475	0.0495	0.8119	0.1485	0.3960	0.0099	0.1881	0.0891	0.0099	0.0099	0.2178	0.1188	0.0099	0.0099	0.0198	0.0099	0.7426	0.1089	0.5842	0.0594	0.0099	0.0099	0.0396	0.5050	0.1683	0.2079	0.0297	0.0792	0.8614	0.0099	0.0297	0.7525	0.0198	0.3663	0.0792	0.8614	0.4356	0.0099	0.0099	0.0495	0.2970	0.4950	0.9802	0.0297	0.0693	0.1386	0.8911	0.0099	0.9406	0.0198	0.1287	0.2079	0.0693	0.3168	0.1683	0.6337	0.0990	0.0099	0.9604	0.2970	0.0099	0.0099	0.2673	0.7426	0.0099	0.8614	0.1089	0.0693	0.7030	0.2277	0.1881	0.6634	0.9505	0.0099	0.0099	0.8119	0.6733	0.3267	0.3960	0.0990	0.6139
Adlercreutzia_equolifaciens	0.0594	1.0000	0.0396	0.1683	0.9802	0.0099	0.0099	0.0099	0.0099	0.0099	0.8911	0.0693	0.0099	0.0099	0.0297	0.0099	0.9208	0.0099	0.0099	0.0693	0.0099	0.1188	0.0099	0.0891	0.0099	0.0198	0.0099	0.0099	0.0594	0.8812	0.0099	0.0099	0.2673	0.0099	0.0099	0.0099	0.0099	0.0495	0.5743	0.2673	0.0396	0.0099	0.5248	0.0099	0.0990	0.4158	0.0099	0.4752	0.0099	0.0297	0.0099	0.0099	0.0099	0.4257	0.0297	0.5446	0.0297	0.2079	0.1188	0.4356	0.0099	0.4257	0.1881	0.0099	0.0594	0.5347	0.0099	0.1089	0.0099	0.5050	0.0099	0.0099	0.5842	0.0099	0.0099	0.3861	0.0495	0.0099	0.0396	0.0099	0.0198	0.0099	0.0099	0.4356	0.7228	0.0891	0.0099	0.1584	0.4257	0.0099	0.7624	0.0099	0.0099	0.0099	0.0099
Agathobaculum_butyriciproducens	0.0099	0.0396	1.0000	0.0099	0.0495	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.5446	0.0198	0.0099	0.0099	0.0099	0.0198	0.0594	0.0297	0.0693	0.0297	0.0099	0.0099	0.0891	0.0099	0.0099	0.0198	0.0099	0.0297	0.0792	0.0099	0.0099	0.0198	0.2079	0.0099	0.0099	0.0099	0.0099	1.0000	0.8218	0.0099	0.9703	0.0099	0.0099	0.0099	0.8812	0.0099	0.0099	0.0099	0.1881	0.2772	0.0099	0.0099	0.0198	0.0099	0.3762	0.0594	0.0099	0.0099	0.9604	0.6832	0.0099	0.0198	0.0297	0.9307	0.1386	0.0495	0.0198	0.1089	0.0594	0.0099	0.0990	0.0198	0.0198	0.0099	0.0099	0.0198	0.0297	0.9703	0.0198	0.7921	0.8020	0.2079	0.0495	0.4356	0.0495	0.0891	0.2574	0.0099	0.0198	0.6535	0.5347	0.4851	0.1980	0.1881
Alistipes_finegoldii	0.5149	0.1683	0.0099	1.0000	0.0099	0.0099	0.0099	0.0099	0.0693	0.0099	0.0099	0.0396	0.1584	0.0495	0.1485	0.3366	0.0099	0.9802	0.3960	0.5446	0.2475	0.0198	0.2772	0.0495	0.0099	0.0297	0.0099	0.0099	0.1485	0.6931	0.0099	0.0594	0.0396	0.0297	0.0198	0.0099	0.0099	0.0099	0.0099	0.5941	0.3762	0.0099	0.3861	0.0495	0.2673	0.0198	0.0099	0.0198	0.0099	0.2079	0.8515	0.0099	0.0099	0.1584	0.0099	0.2574	0.8416	0.9802	0.0099	0.3465	0.2970	0.0990	0.1782	0.0099	0.0099	0.5941	0.0099	0.7723	0.0792	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.6733	0.4059	0.2277	0.1188	0.1188	0.8218	0.0099	0.4851	0.3861	0.0099	0.2178	0.0198	0.3663	0.0297	0.0198	0.9703	0.0099	0.0099	0.0099	0.0099
Alistipes_indistinctus	0.2277	0.9802	0.0495	0.0099	1.0000	0.2178	0.0099	0.0099	0.2475	0.0693	0.0099	0.0099	0.0099	0.6337	0.1584	0.8515	0.6139	0.3564	0.0693	0.0099	0.5545	0.3762	0.0099	0.0297	0.5941	0.9802	0.0396	0.5149	0.2079	0.3465	0.0099	0.1089	0.0099	0.5347	0.0396	0.4257	0.0099	0.0099	0.0099	0.0099	0.0297	0.5149	0.1287	0.8317	0.0792	0.4059	0.0198	0.0099	0.9208	0.4059	0.1881	0.0099	0.6535	0.1188	0.0198	0.3564	0.0099	0.0297	0.1881	0.3465	0.5941	0.0792	0.9109	0.6733	0.6436	0.8218	0.5941	0.6931	0.3564	0.7030	0.4257	0.0495	0.0990	0.0495	0.4059	0.0099	0.0099	0.0198	0.6634	0.0099	0.7921	0.3465	0.5842	0.6238	0.5743	0.3168	0.2970	0.0297	0.7624	0.1980	0.0792	0.8911	0.6634	0.0693	0.4059
Alistipes_putredinis	0.2574	0.0099	0.0099	0.0099	0.2178	1.0000	0.0099	0.0099	0.2178	0.0099	0.0099	0.1584	0.0396	0.0099	0.0099	0.0099	0.4356	0.0099	0.0099	0.0099	0.0297	0.0099	0.0099	0.1881	0.0099	0.0099	0.0198	0.0099	0.8119	0.1980	0.0099	0.0099	0.2178	0.0099	0.0594	0.0099	0.0099	0.0990	0.0099	0.1782	0.0198	0.0099	0.0891	0.8614	0.4752	0.0099	0.0099	0.2376	0.0099	0.0099	0.0495	0.0396	0.0099	0.2970	0.0099	0.0099	0.0594	0.0099	0.0099	0.0099	0.0099	0.0198	0.0198	0.0099	0.0099	0.5248	0.0099	0.8416	0.0099	0.3762	0.0099	0.0099	0.2475	0.0099	0.0099	0.0099	0.3465	0.0396	0.0297	0.0099	0.9703	0.0297	0.0099	0.2574	0.0198	0.2475	0.0099	0.3663	0.0297	0.0792	0.2970	0.0099	0.0099	0.0099	0.0099
Alistipes_shahii	0.8515	0.0099	0.0099	0.0099	0.0099	0.0099	1.0000	0.0099	0.0099	0.0099	0.0099	0.0297	0.1683	0.0198	0.0099	0.0099	0.4257	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.3861	0.0099	0.0099	0.2475	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.6535	0.1089	0.0099	0.0099	0.0693	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0297	0.0099	0.0099	0.1386	0.0099	0.1980	0.8020	0.5149	0.0099	0.0297	0.0099	0.0099	0.1782	0.0099	0.0099	0.3267	0.0099	0.5644	0.1683	0.9208	0.0099	0.0099	0.1782	0.0099	0.0099	0.0099	0.0198	0.5842	0.0495	0.2079	0.4653	0.0099	0.0198	0.2673	0.0198	0.0099	0.0099	0.1980	0.0099	0.0099	0.6535	0.0099	0.0099	0.0099	0.0099
Anaerostipes_hadrus	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	1.0000	0.0099	0.0297	0.0198	0.7327	0.0297	0.0198	0.0099	0.0099	0.4950	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.4059	0.0099	0.0099	0.0594	0.0099	0.0198	0.7525	0.0099	0.0198	0.0198	0.0891	0.0099	0.0099	0.0099	0.0099	0.5842	0.6436	0.0990	0.8317	0.0198	0.0099	0.0099	0.0990	0.0099	0.0099	0.0099	0.1386	0.6436	0.0099	0.0099	0.4653	0.0099	0.8119	0.0495	0.0099	0.0099	0.9604	0.0099	0.0099	0.8416	0.0099	0.2970	0.1782	0.0099	0.1782	0.6040	0.2079	0.0099	0.0099	0.0099	0.0198	0.0099	0.0198	0.0099	0.0990	0.0099	0.3861	0.4653	0.1782	0.1287	0.7525	0.0495	0.5941	0.0099	0.0297	0.0099	0.5149	0.0891	0.0198	0.0198	0.0792	0.7426
Asaccharobacter_celatus	0.0198	0.0099	0.0099	0.0693	0.2475	0.2178	0.0099	0.0099	1.0000	0.0099	1.0000	0.1584	0.0099	0.0099	0.0891	0.0198	0.9703	0.0198	0.0099	0.0594	0.0099	0.0099	0.0099	0.0990	0.0396	0.0099	0.2079	0.0099	0.0297	0.8317	0.0099	0.0099	0.9208	0.0099	0.0099	0.0099	0.0198	0.0099	0.0396	0.6436	0.4653	0.0099	0.6535	0.0099	0.0099	0.5050	0.0099	0.0891	0.0099	0.1386	0.0099	0.0099	0.0099	0.3069	0.0990	0.2178	0.0198	0.2871	0.0198	0.2079	0.0099	0.1386	0.9505	0.0099	0.2079	0.0990	0.0099	0.0396	0.0099	0.3168	0.0099	0.0099	0.8218	0.0099	0.0099	0.2178	0.0198	0.0891	0.0099	0.0594	0.0099	0.1287	0.1584	0.4950	0.8614	0.0198	0.1188	0.1683	0.5644	0.0099	0.6634	0.0099	0.0099	0.0099	0.1980
Bacteroides_caccae	0.1188	0.0099	0.0099	0.0099	0.0693	0.0099	0.0099	0.0297	0.0099	1.0000	0.2574	0.0099	0.0594	0.0099	0.0990	0.0099	0.5545	0.0099	0.0099	0.0495	0.0099	0.0297	0.0099	0.0396	0.0099	0.0099	0.0396	0.0099	1.0000	0.1089	0.0099	0.0099	0.5149	0.0297	0.0198	0.0099	0.0099	0.4752	0.3960	0.2574	0.1683	0.0297	0.4752	0.0198	0.6139	0.0099	0.0099	0.5446	0.0099	0.0396	0.0297	0.0099	0.0198	0.4158	0.7723	0.0198	0.0099	0.1683	0.8812	0.0099	0.9406	0.0099	0.0099	0.0099	0.0099	0.1584	0.0099	0.6238	0.0198	0.6139	0.0099	0.8218	0.4752	0.0099	0.0099	0.6337	0.9604	0.0495	0.0099	0.0693	0.2772	0.7327	0.0099	0.0495	0.1386	0.0099	0.0099	0.0396	0.0198	0.1980	0.5446	0.0099	0.0099	0.0099	0.0099
